Date,Adj Close,Close,High,Low,Open,Volume
2022-11-22,73.38708496,75.98999786,76.80000305,74.58000183,75.44000244,20694100
2022-11-23,75.81111145,78.5,78.84500122,76.84999847,78.19000244,19032700
2022-11-25,72.91387177,75.5,76.05000305,74.91999817,75.5,13036900
2022-11-28,73.28085327,75.87999725,77.41699982,74.68000031,74.73999786,19107400
2022-11-29,77.12452698,79.86000061,80.88999939,79.44999695,80.23999786,24178100
2022-11-30,84.56076813,87.55999756,89.625,82.25,82.73999786,60169600
2022-12-01,82.99626923,85.94000244,87.59999847,84.26000214,84.34999847,20243000
2022-12-02,86.9751358,90.05999756,91.84999847,86.05000305,86.05000305,35042600
2022-12-05,87.41938019,90.51999664,92.90000153,89.62999725,92.90000153,30929800
2022-12-06,88.31752014,91.44999695,92.56999969,89.19999695,91.87999725,26675700
2022-12-07,85.30440521,88.33000183,89.26000214,86.62000275,87.05999756,19507400
2022-12-08,90.9443512,94.16999817,94.33499908,91.08000183,91.97000122,29241500
2022-12-09,88.21129608,91.33999634,93.75,91.22499847,93.26999664,15452100
2022-12-12,86.34741211,89.41000366,90.88899994,87.75,90.08999634,15190200
2022-12-13,88.27890015,91.41000366,94.98000336,90.30000305,93.44999695,21150600
2022-12-14,87.79602814,90.91000366,91.26499939,89.5,91.05999756,15575500
2022-12-15,83.25701904,86.20999908,94.08000183,86.05000305,93.08999634,30419400
2022-12-16,83.8171463,86.79000092,90.56999969,86.61000061,88.80000305,25084600
2022-12-19,84.17447662,87.16000366,89.77999878,86.50099945,89.75,20737000
2022-12-20,82.9769516,85.91999817,87.19999695,85.04000092,85.04000092,15315400
2022-12-21,84.80220795,87.80999756,88.38700104,85.45999908,86.01000214,18212900
2022-12-22,84.9567337,87.97000122,89.69000244,86.66999817,89.08000183,16004800
2022-12-23,82.71620178,85.65000153,88.65000153,85.51999664,87.84999847,17949300
2022-12-27,86.78199768,89.86000061,90.68900299,86.20999908,86.55000305,22959900
2022-12-28,84.21309662,87.19999695,90.15000153,86.46499634,88.98000336,16268800
2022-12-29,86.07699585,89.12999725,89.51999664,87.05999756,87.625,12535400
2022-12-30,85.07261658,88.08999634,89.41000366,87.41000366,87.44999695,11926700
2023-01-03,88.82937622,91.98000336,94.44999695,90.75,91.11000061,27891000
2023-01-04,100.3603897,103.9199982,104.5199966,96.97000122,98.84999847,53291800
2023-01-05,100.9977875,104.5800018,105.6999969,100.6399994,101.4000015,30400400
2023-01-06,103.7211914,107.4000015,108,102.4599991,104.1100006,21072400
2023-01-09,107.0337067,110.8300018,113.1100006,108.1200027,111.9899979,42085300
2023-01-10,110.9449692,114.8799973,115.4800034,111.2099991,112.9700012,33478600
2023-01-11,111.0801773,115.0199966,115.2099991,112.3099976,114.5999985,22804400
2023-01-12,109.274231,113.1500015,113.7900009,111.4499969,113.6600037,16590600
